5/12/2025 11:14:37 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:20:50 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:21:06 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:24:23 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:24:35 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:28:07 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:28:19 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:29:59 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:30:09 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:32:31 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:32:44 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:33:55 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 11:34:04 AM, Trigger: A1, Q1: Yes, Q2: Yes
5/12/2025 12:16:27 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:18:09 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:51:37 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:51:58 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:52:20 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:52:52 PM, Trigger: A2, Q1: No, Q2: No
5/12/2025 12:53:29 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:59:06 PM, Trigger: A2, Q1: Yes, Q2: Yes
5/12/2025 12:59:26 PM, Trigger: A2, Q1: Yes, Q2: Yes
